u,v,key,osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,name,tunnel,junction,access,geometry
1485584578,1406434049,0,127003544,,False,,,residential,,False,5.547,Rua Padre Arménio Alves da Costa Júnior,,,,"LINESTRING (-8.645469 40.6385036, -8.6454928 40.6385501)"
1485584578,1406433950,0,127003544,,False,,,residential,,True,14.928,Rua Padre Arménio Alves da Costa Júnior,,,,"LINESTRING (-8.645469 40.6385036, -8.6454094 40.6383772)"
1485602037,4801882957,0,135257660,,False,2,,residential,,False,56.764,Rua Sebastião de Magalhães Lima,,,,"LINESTRING (-8.6460307 40.6378505, -8.645935 40.6373452)"
1485602037,5237682370,0,135257660,,False,2,,residential,,True,27.542,Rua Sebastião de Magalhães Lima,,,,"LINESTRING (-8.6460307 40.6378505, -8.6460769 40.6380957)"
1485602038,1489449175,0,135258440,,True,1,,residential,50,False,10.505,Rua Manuel Júlio Braga Alves,,,,"LINESTRING (-8.6440897 40.6359613, -8.6440376 40.6360471)"
1485602040,1489449174,0,135258442,,True,1,,residential,50,False,9.613,Rua Manuel Júlio Braga Alves,,,,"LINESTRING (-8.6440301 40.6360983, -8.6441293 40.6360558)"
1485602040,1489449176,0,135641870,,False,2,,residential,50,False,62.003,Rua Manuel Júlio Braga Alves,,,,"LINESTRING (-8.6440301 40.6360983, -8.6437855 40.6366241)"
1485602045,8920106234,0,135257660,,False,2,,residential,,True,6.264,Rua Sebastião de Magalhães Lima,,,,"LINESTRING (-8.6443475 40.6360142, -8.6444109 40.6360435)"
1485602045,1489449163,0,135641892,,False,2,,residential,,False,8.367,Rua Sebastião de Magalhães Lima,,,,"LINESTRING (-8.6443475 40.6360142, -8.6442945 40.6359506)"
1485602046,1485602047,0,135257660,,False,2,,residential,,False,11.031,Rua Sebastião de Magalhães Lima,,,,"LINESTRING (-8.6458517 40.6369112, -8.6458048 40.6368186)"
1485602046,1485602052,0,135257660,,False,2,,residential,,True,11.734,Rua Sebastião de Magalhães Lima,,,,"LINESTRING (-8.6458517 40.6369112, -8.6458853 40.6370136)"
1485602047,4801882956,0,135257660,,False,2,,residential,,False,13.657,Rua Sebastião de Magalhães Lima,,,,"LINESTRING (-8.6458048 40.6368186, -8.645727 40.6367109)"
1485602047,1485602046,0,135257660,,False,2,,residential,,True,11.031,Rua Sebastião de Magalhães Lima,,,,"LINESTRING (-8.6458048 40.6368186, -8.6458517 40.6369112)"
1485602052,1485602046,0,135257660,,False,2,,residential,,False,11.734,Rua Sebastião de Magalhães Lima,,,,"LINESTRING (-8.6458853 40.6370136, -8.6458517 40.6369112)"
